SLC11A1	SNAP25
SLC11A1	CLEC5A
APOB	OLR1
APOB	AMBN
APOB	SPP1
APOB	SH3GL3
APOB	MTTP
APOB	DMP1
APOB	APOA1
APOB	FGG
INO80B	HIST1H3J
REEP6	OR10A5
REEP6	OR2AG2
REEP6	OR51E2
REEP6	OR8B2
REEP6	OR2D3
DOK1	CD79A
DOK1	BLK
EVA1A	DMP1
EVA1A	APOA1
EVA1A	AMBN
EVA1A	FGG
EVA1A	SPP1
IGFBP5	AMBN
IGFBP5	SPP1
IGFBP5	FGG
IGFBP5	DMP1
IGFBP5	APOA1
GGCX	F9
WNT6	SFRP1
AZU1	LYZ
PROC	AMBN
PROC	SPP1
PROC	FGG
PROC	DMP1
PROC	APOA1
ODC1	PSMA8
PRTN3	CAMP
PRTN3	LYZ
KISS1R	ADRA1D
ATP6V1B1	SLC26A4
CLCN6	FGG
BCL9	FCRL5
BCL9	HIST1H3J
OPRD1	CXCL11
OPRD1	ADRA2C
OPRD1	CCL1
OPRD1	S1PR5
OPRD1	CXCL13
OPRD1	CXCL10
OPRD1	CXCL5
OPRD1	CNR2
OPRD1	DRD2
OPRD1	CXCL9
OPRD1	CCL20
SELL	IFNG
SELL	GZMB
VAMP4	SH3GL3
VAMP4	SNAP25
CTSD	CHIT1
CTSD	CAMP
CTSD	LYZ
MMP8	CHIT1
MMP8	CAMP
MMP8	LYZ
APOA1	AMBN
APOA1	SPP1
APOA1	FGG
APOA1	MTTP
APOA1	DMP1
TNNT2	TNNT1
TNP1	HIST1H3J
TTR	APOA1
TTR	FGG
TTR	LYZ
ABCG2	PROM1
STBD1	OLR1
STBD1	SNAP25
STBD1	CLEC5A
FGF23	AMBN
FGF23	SPP1
FGF23	FGG
FGF23	DMP1
FGF23	APOA1
ACOT2	FBP1
TGFB3	LEFTY2
TGFB3	FGG
INSL4	INSL3
ELF1	BLK
EGR1	IRF4
TAS2R8	CXCL10
TAS2R8	CCL1
TAS2R8	CXCL9
TAS2R8	CCL20
TAS2R8	CXCL5
TAS2R8	CXCL11
TAS2R8	S1PR5
TAS2R8	CNR2
TAS2R8	ADRA2C
TAS2R8	DRD2
TAS2R8	CXCL13
KLRK1	ULBP1
KLRK1	TNFRSF9
KLRK1	GZMB
TAS2R10	CXCL10
TAS2R10	CCL1
TAS2R10	CXCL9
TAS2R10	CCL20
TAS2R10	CXCL5
TAS2R10	CXCL11
TAS2R10	S1PR5
TAS2R10	CNR2
TAS2R10	ADRA2C
TAS2R10	DRD2
TAS2R10	CXCL13
IAPP	MC4R
IAPP	GPR15
IAPP	INSL3
TAS2R7	CXCL10
TAS2R7	CCL1
TAS2R7	CXCL9
TAS2R7	CCL20
TAS2R7	CXCL5
TAS2R7	CXCL11
TAS2R7	S1PR5
TAS2R7	CNR2
TAS2R7	ADRA2C
TAS2R7	DRD2
TAS2R7	CXCL13
TAS2R9	CXCL10
TAS2R9	CCL20
TAS2R9	CXCL5
TAS2R9	CXCL11
TAS2R9	S1PR5
TAS2R9	CCL1
TAS2R9	CNR2
TAS2R9	ADRA2C
TAS2R9	DRD2
TAS2R9	CXCL9
TAS2R9	CXCL13
KALRN	DCC
KALRN	ADRA1D
CAT	LPO
GJA3	BFSP2
GHSR	ADRA1D
GSTM2	GSTA1
ACVR2A	LEFTY2
AHR	IDO1
RAMP3	MC4R
RAMP3	GPR15
RAMP3	INSL3
CLTA	SH3GL3
ZC3HAV1	FGG
SRGN	LEFTY2
SRGN	FGG
UNG	AICDA
PDE1B	GUCY2D
LRP1	APOA1
FAAH	CNR2
RAB9B	RAB3B
TNFAIP6	CHIT1
TNFAIP6	CAMP
TNFAIP6	LYZ
ACVR1C	LEFTY2
PLA2G12A	PLA2G2D
RAB38	RAB3B
GPR83	MC4R
GPR83	GPR15
GPR83	INSL3
ACTR5	HIST1H3J
MC3R	MC4R
MC3R	GPR15
MC3R	INSL3
PLCG1	NTN1
PLCG1	DCC
PLCG1	IGLL5
PLCG1	CD79A
PLCG1	GAD1
PLCG1	BLK
RAB22A	RAB3B
LIPE	LIPG
LYPD3	AGR2
LYPD3	CNTN5
LYPD3	LY6H
CEACAM8	OLR1
CEACAM8	CLEC5A
CEACAM8	PIGR
CEACAM8	SNAP25
SLC17A1	SLC18A1
HIST1H4F	HIST1H3J
EREG	BTC
MT2A	GBP5
MT2A	MC4R
MT2A	IRF4
MT2A	MT1G
MT2A	MT1H
GOT2	GAD1
GOT2	IL4I1
SPHK2	S1PR5
EFNB2	SEMA3E
EFNB2	EPHA6
IRF1	GBP5
IRF1	IFNG
IRF1	IRF4
IRF1	CXCL10
BMP4	AMBN
BMP4	SPP1
BMP4	DMP1
BMP4	APOA1
BMP4	FGG
PTGER2	MC4R
PTGER2	GPR15
PTGER2	INSL3
SOX9	SPP1
SOX9	NR0B1
MYH2	IGLL5
TNFSF9	TNFRSF9
C3	AMBN
C3	SPP1
C3	CR2
C3	S1PR5
C3	CXCL13
C3	CXCL10
C3	PIGR
C3	DMP1
C3	APOA1
C3	CXCL9
C3	CCL20
C3	CXCL11
C3	ADRA2C
C3	CCL1
C3	FGG
C3	CXCL5
C3	LYZ
C3	CNR2
C3	DRD2
GNRH2	ADRA1D
CD93	OLR1
CD93	CLEC5A
CD93	SNAP25
S1PR4	CXCL10
S1PR4	CXCL5
S1PR4	CXCL11
S1PR4	CNR2
S1PR4	ADRA2C
S1PR4	DRD2
S1PR4	CCL1
S1PR4	CXCL9
S1PR4	CCL20
S1PR4	S1PR5
S1PR4	CXCL13
FNTB	C10orf71
HCST	ULBP1
HCST	CLEC5A
FFAR1	ADRA1D
KRT13	KRT18
KRT38	KRT18
CCR7	CXCL11
CCR7	ADRA2C
CCR7	CCL1
CCR7	CCL7
CCR7	IRF4
CCR7	S1PR5
CCR7	CXCL13
CCR7	CXCL10
CCR7	CXCL5
CCR7	GZMB
CCR7	CNR2
CCR7	DRD2
CCR7	CXCL9
CCR7	CCL20
KRT9	KRT18
RRAS	SEMA3E
CFP	CHIT1
CFP	CAMP
CFP	LYZ
OMG	RTN4R
OMG	GFAP
CTAG2	MAGEC1
PYCARD	AIM2
PYCARD	LYZ
TRAF2	TNFRSF9
TRAF2	PSMA8
TAS2R3	CXCL10
TAS2R3	CCL1
TAS2R3	CXCL9
TAS2R3	CCL20
TAS2R3	CXCL5
TAS2R3	CXCL11
TAS2R3	S1PR5
TAS2R3	CNR2
TAS2R3	ADRA2C
TAS2R3	DRD2
TAS2R3	CXCL13
TAS2R4	CXCL10
TAS2R4	CCL1
TAS2R4	CXCL9
TAS2R4	CCL20
TAS2R4	CXCL5
TAS2R4	CXCL11
TAS2R4	S1PR5
TAS2R4	CNR2
TAS2R4	ADRA2C
TAS2R4	DRD2
TAS2R4	CXCL13
TAS2R5	CXCL10
TAS2R5	CCL1
TAS2R5	CXCL9
TAS2R5	CCL20
TAS2R5	CXCL5
TAS2R5	CXCL11
TAS2R5	S1PR5
TAS2R5	CNR2
TAS2R5	ADRA2C
TAS2R5	DRD2
TAS2R5	CXCL13
F2RL3	ADRA1D
GNG13	CXCL11
GNG13	MC4R
